id,time,InfectionLevel11,dead1,infected1,naive1,patientFlowOver11,patientFlowOver21,patient_severe_critical1,vaccinated1
269,5/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
270,5/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
271,5/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
272,5/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
273,5/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
274,5/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
275,5/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
276,5/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
277,5/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
278,5/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
279,5/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
280,5/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
281,5/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
282,5/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
283,5/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
284,5/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
285,5/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
286,5/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
287,5/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
288,6/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
289,6/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
290,6/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
291,6/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
292,6/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
293,6/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
294,6/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
295,6/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
296,6/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
297,6/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
298,6/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
299,6/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
300,6/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
301,6/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
302,6/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
303,6/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
304,6/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
305,6/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
306,6/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
307,6/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
308,6/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
309,6/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
310,6/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
311,6/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
312,6/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
313,6/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
314,6/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
315,6/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
316,6/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
317,6/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
318,6/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
319,6/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
320,6/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
321,6/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
322,6/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
323,6/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
324,6/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
325,6/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
326,6/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
327,6/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
328,6/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
329,6/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
330,6/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
331,6/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
